# e nb T p mub mus
0.2600000 0.8700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.8800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.8900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 0.9900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2600000 1.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.0000000 0.1523182 0.0450360 -0.0000000 -0.0000000
0.2700000 0.0100000 0.1521671 0.0449341 0.0421054 0.0077905
0.2700000 0.0200000 0.1517201 0.0446348 0.0837290 0.0155839
0.2700000 0.0300000 0.1509935 0.0441564 0.1244832 0.0233842
0.2700000 0.0400000 0.1500090 0.0435238 0.1641272 0.0311971
0.2700000 0.0500000 0.1487890 0.0427636 0.2025681 0.0390301
0.2700000 0.0600000 0.1473524 0.0419006 0.2398289 0.0468919
0.2700000 0.0700000 0.1457133 0.0409563 0.2760080 0.0547918
0.2700000 0.0800000 0.1438803 0.0399483 0.3112442 0.0627387
0.2700000 0.0900000 0.1418569 0.0388903 0.3456928 0.0707408
0.2700000 0.1000000 0.1396418 0.0377934 0.3795102 0.0788047
0.2700000 0.1100000 0.1372295 0.0366661 0.4128454 0.0869343
0.2700000 0.1200000 0.1346103 0.0355147 0.4458350 0.0951299
0.2700000 0.1300000 0.1317712 0.0343441 0.4786004 0.1033874
0.2700000 0.1400000 0.1286953 0.0331577 0.5112464 0.1116961
0.2700000 0.1500000 0.1253619 0.0319573 0.5438593 0.1200376
0.2700000 0.1600000 0.1217462 0.0307433 0.5765058 0.1283838
0.2700000 0.1700000 0.1178186 0.0295140 0.6092324 0.1366946
0.2700000 0.1800000 0.1135433 0.0282652 0.6420655 0.1449157
0.2700000 0.1900000 0.1088764 0.0269894 0.6750126 0.1529767
0.2700000 0.2000000 0.1037615 0.0256741 0.7080662 0.1607876
0.2700000 0.2100000 0.0981238 0.0243000 0.7412084 0.1682346
0.2700000 0.2200000 0.0918588 0.0228377 0.7744174 0.1751716
0.2700000 0.2300000 0.0848118 0.0212416 0.8076759 0.1814049
0.2700000 0.2400000 0.0767343 0.0194369 0.8409872 0.1866612
0.2700000 0.2500000 0.0671766 0.0172882 0.8744194 0.1905140
0.2700000 0.2600000 0.0551785 0.0145069 0.9081722 0.1921713
0.2700000 0.2700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.2800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.2900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.3000000 0.0000000 0.0000000 0.0000000 0.0000000
